Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
DataCrunch.io,https://www.crunchbase.com/organization/datacrunch-io,,00180,DataCrunch.io is a new cloud service provider that focuses on providing its own machine-learning infrastructure. It provides GPU-accelerated virtual machines and bare metal servers for machine learning that are simple to manage and deploy.,,"Artificial Intelligence (AI), Information Technology, Software","Helsinki, Southern Finland, Finland",DataCrunch is a cloud service provider which facilitates utilization and integration of state of the art AI/ML models,"1,572",2018-02-01,month,,Ruben Bryon,Private,"1,628",,2024-10-21,3,Seed,7600000,USD,7600000,Seed,14094642,USD,14094642,7600000,USD,7600000,Seed,8694642,USD,8694642,"Nordea, LähiTapiola, byFounders, Oskari Saarenmaa, J12",14,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,"European Union (EU), Nordic Countries, Scandinavia",https://datacrunch.io,https://www.linkedin.com/company/datacrunch,info@datacrunch.io,11-50
H Company,https://www.crunchbase.com/organization/holistic-ai-0946,,75009,"H Company focuses on creating frontier action models that improve productivity for workers through advanced AI capabilities. The platform specializes in task automation and decision-making support, enabling organizations to streamline operations.",,"Analytics, Artificial Intelligence (AI), Data Management, Generative AI","Paris, Ile-de-France, France",H Company develops AI models to enhance worker productivity and decision-making.,"1,581",2023-01-01,year,,,Private,"1,637",,2024-05-21,2,Seed,100000000,USD,100000000,Seed,220000000,USD,220000000,100000000,USD,100000000,Seed,100000000,USD,100000000,"Amazon, UiPath, Accel, Creandum, FirstMark",18,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.hcompany.ai,https://www.linkedin.com/company/h-company-ai,,
Stellar,https://www.crunchbase.com/organization/stellar-58db,,,"Stellar provides solutions that combine cellular, Wi-Fi, and satellite networks for seamless internet access. The company utilizes artificial intelligence to enhance network performance and predict optimal connectivity options. Stellar's services are designed for enterprise customers seeking reliable and high-speed internet solutions.",,"Automotive, Internet, Software, Telecommunications","Bordeaux, Aquitaine, France",Stellar is a telecommunications company that integrates multiple networks for connectivity.,"1,587",2021-05-05,day,,"Anela Boese, Damien Garot, Hassan Aouisse",Private,"1,643",,2024-10-08,3,Seed,6800000,EUR,7467760,Seed,9300000,EUR,10163917,6800000,EUR,7467760,Seed,6800000,EUR,7467760,"European Union, Primo Capital, Elewit, Région Nouvelle-Aquitaine, Alchimia Investments",5,"Hardware, Internet Services, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.stellar.tc,https://www.linkedin.com/company/stellartc,info@stellar.tc,11-50
AllFocal Optics,https://www.crunchbase.com/organization/lark-optics,,CB4 0WS,AllFocal Optics revolutionizes display technology through groundbreaking nanophotonic solutions.,,,"Cambridge, Cambridgeshire, United Kingdom",AllFocal Optics revolutionizes display technology through groundbreaking nanophotonic solutions.,"1,592",2022-01-01,year,,,Private,"1,643",,2024-11-06,3,Seed,3600000,USD,3600000,Seed,5300000,USD,5300000,3600000,USD,3600000,Seed,3600000,USD,3600000,"Cambridge Enterprise Ventures, Speedinvest, Innovate UK, 7percent Ventures, Martlet Capital",12,,,"Europe, Middle East, and Africa (EMEA)",https://www.allfocaloptics.com/,https://www.linkedin.com/company/allfocaloptics/about/,,1-10
Ooodles,https://www.crunchbase.com/organization/ooodles,Growing,WC1N 3PJ,"Equip your teams with laptops, mobile phones and tech devices on a flexible, pay-as-you-go monthly rental. Manage your IT effortlessly on Ooodles' self-service platform.",,"Consumer Electronics, Leasing, Rental","London, England, United Kingdom",Rent laptops and tech devices that scale up/down as fast as your business requires.,"1,629",2021-07-01,day,,,Private,"1,687",,2024-11-12,4,Seed,2000000,GBP,2568502,Seed,14500000,GBP,18236649,2000000,GBP,2568502,Seed,4700000,GBP,6265063,"āltitude, Traditum Private Equity, Smart Lenders Asset Management SA, Oyster Capital Partners",4,"Commerce and Shopping, Consumer Electronics, Financial Services, Hardware",,"Europe, Middle East, and Africa (EMEA)",https://www.ooodles.com,https://www.linkedin.com/company/ooodles,ir@ooodles.co.uk,11-50
EMBIO Diagnostics,https://www.crunchbase.com/organization/embio-diagnostics,,2018,"EMBIO Diagnostics is a rapidly growing biotech company that designs and develops innovative, portable, biosensor-based digital devices for rapid diagnostics. Our devices find applications covering the needs of a wide range of industries including environmental, food safety, maritime and medical sectors. EMBIO is creating the future with in-house knowhow of complex algorithm building combined with AI and machine learning. Developed and designed by EMBIO Diagnostics, B.EL.D™ [Bio Electric Diagnostics], a potentiometer device combined with our proprietary algorithms and machine learning, is one of the few multi-purpose portable analyzer systems on the market.",,"Biotechnology, Hardware, Software","Nicosia, Nicosia, Cyprus","Biotechnology, Software and Hardware Development","1,690",2016-02-01,day,,Constantinos Loizou,Private,"1,749",,2024-11-15,3,Seed,2500000,EUR,2636374,Seed,5068690,USD,5068690,2500000,EUR,2636374,Seed,5068690,USD,5068690,"Kinisis Ventures, ASBISC Enterprises, Asbis",3,"Biotechnology, Hardware, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",https://www.embiodiagnostics.eu,https://www.linkedin.com/company/1087896/,info@embiodiagnostics.eu,11-50
Almer Technologies,https://www.crunchbase.com/organization/almer-technologies,Growing,3011,"Almer Technologies is a startup developing compact and lightweight augmented reality (AR) glasses to deliver effortless communication for frontline workers. Almer Technologies provides AR as a service, including hardware as well as software.",,"Augmented Reality, Information Technology, Professional Services, Software","Bern, Bern, Switzerland",Almer creates compact and lightweight AR devices with the best image to make communication between frontline workers and experts effortless,"1,847",2021-01-12,day,,,Private,"1,904",,2024-09-18,10,M&A,3000000,USD,3000000,Seed,10434880,USD,10434880,3000000,USD,3000000,Seed,9276140,USD,9276140,"Venture Kick, Swisscom, VI Partners, Kickfund, Klimastiftung",5,"Hardware, Information Technology, Other, Software",,"Europe, Middle East, and Africa (EMEA)",https://almer.com/,https://www.linkedin.com/company/almertechnologies/,contact@almer.com,11-50
NitroVolt,https://www.crunchbase.com/organization/nitrovolt,Growing,2860,"NitroVolt is decarbonizing nitrogen-based fertilizer production and making the agricultural sector more resilient with a novel production process. Commercial ammonia production supports 40-50% of the agricultural industry as a nitrogen-based fertilizer. But current ammonia production is not sustainable, releasing over 1% of global greenhouse gas emissions during production facilities and further emissions during transportation to the end user, farmers. NitroVolt offers a local ammonia production solution that gives farmers the ability to produce their own nitrogen-based fertilizer. The only inputs required by NitroVolt’s container-sized systems are air, water, and electricity, enabling production of sustainable ammonia directly at farms. NitroVolt’s patented electrochemical Nitrolyzer unit can make ammonia on-demand with intermittent renewable energy sources. With their technology, NitroVolt aims to decarbonize nitrogen-based fertilizer production one farm at a time, cut the logistic costs of distributing fertilizer, and make the agricultural sector more resilient to external factors.",,"Agriculture, AgTech, CleanTech, Energy Storage, Fuel, GreenTech, Renewable Energy, Sustainability","Copenhagen, Hovedstaden, Denmark","NitroVolt is a green ammonia startup developing a small-scale ammonia synthesis unit, to give farmers control over fertilizer production.","1,885",2023-06-26,day,,"Mattia Saccoccio, Suzanne Zamany Andersen",Private,"1,951",,2024-11-13,3,Seed,3500000,EUR,3720179,Seed,4546321,USD,4546321,3500000,EUR,3720179,Seed,4546321,USD,4546321,"Division Q, Export and Investment Fund, Breakthrough Energy Ventures, Satgana, BackingMinds",6,"Agriculture and Farming, Energy, Sustainability",,"European Union (EU), Nordic Countries, Scandinavia",https://www.nitrovolt.com/,https://www.linkedin.com/company/nitrovolt/,sza@nitrovolt.com,1-10
Auquan,https://www.crunchbase.com/organization/auquan,Growing,EC1V 2NX,"Capital Markets are drowning in data - there is too much to digest and too many tools to analyse. Not all of them can be looked at manually. As a result, 80% of useful information, which could have generated alpha or caught a downside risk, gets overlooked. Auquan is transforming investment research, using knowledge graphs, to simultaneously reduce research time from weeks to hours, while expanding the overall data coverage available to an investment team.  We're the first integrated research platform for capital markets that supports an interconnected central repository for external and internal data (including time series, text, emails, docs, news, research, transcripts, reports and more). We allow users to search and analyse data within the platform, share it across teams and reference for future use, replacing multiple research tools as ""the only research tool"" to look at.",,"Analytics, Artificial Intelligence (AI), Big Data, Finance, Financial Services, FinTech, Machine Learning, Software","London, England, United Kingdom",Transforming investment research using knowledge graphs and NLP,"1,902",2018-06-01,month,,"Chandini Jain, Shub Jain",Private,"1,968",,2024-10-22,6,Seed,4500000,USD,4500000,Seed,9220000,USD,9220000,4500000,USD,4500000,Seed,9220000,USD,9220000,"Techstars, FinTech Sandbox, Surge, Stage 2 Capital, Episode 1",11,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",http://auquan.com/,https://www.linkedin.com/company/auquan/,info@auquan.com,11-50
SynthFlow AI,https://www.crunchbase.com/organization/synthflow-ai,Growing,,"Synthflow AI is a platform that enables businesses and creators to harness the power of conversational AI and voice technology. The company provides a no-code environment where users can design, deploy, and manage AI agents tailored to their unique requirements, delivering personalized experiences that drive customer satisfaction and business growth.",,"Artificial Intelligence (AI), Productivity Tools, Software","Berlin, Berlin, Germany","Synthflow AI empowers businesses to build customizable, no-code AI voice assistants that handle a variety of tasks.","1,906",2023-07-01,month,,Hakob Astabatsyan,Private,"1,963",,2024-06-27,2,Seed,7400000,USD,7400000,Seed,8984617,USD,8984617,7400000,USD,7400000,Seed,8984617,USD,8984617,"Atlantic Labs, Singular, BigStory VC",3,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://synthflow.ai,https://www.linkedin.com/company/synthflowai,,11-50
Palm,https://www.crunchbase.com/organization/palm-0ef2,,,"Palm specializes in AI-powered treasury software designed to optimize financial operations for businesses. The platform offers solutions for generating accurate cash forecasts quickly and managing company funds efficiently. Palm's technology streamlines automated workflows for forecasting and cash movement, ensuring enterprise-grade security and controls. The company focuses on addressing treasury challenges with innovative solutions, supported by a team with expertise in treasury and fintech. Palm's services are aimed at improving financial decision-making and operational efficiency for its clients.",,"Artificial Intelligence (AI), Financial Services, Software","London, England, United Kingdom",Palm offers AI-powered treasury software for accurate cash forecasting and efficient fund management.,"2,089",2023-01-01,year,,"Christian Sobkowski, Gurjit Pannu",Private,"2,158",,2024-09-03,2,Seed,5500000,EUR,6076710,Seed,5500000,EUR,6076710,5500000,EUR,6076710,Seed,5500000,EUR,6076710,"Target Global, Liquid 2 Ventures, Speedinvest, Philippe Teixeira da Mota, Greens Ventures",7,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://usepalm.com,https://www.linkedin.com/company/usepalm/,hello@usepalm.com,1-10
Cure51,https://www.crunchbase.com/organization/cure51,Growing,75017,Cure51 mission is to create a database of cancer survivors to leverage their exceptional biological features and find new drugs to cure Cancer.,,"Biotechnology, Database, Software","Paris, Ile-de-France, France",Cure51 mission is to create a database of cancer survivors to leverage their exceptional biological features.,"2,269",2021-01-01,year,,"El Mehdi Ouzgane, Nicolas Wolikow, Simon Istolainen",Private,"2,340",,2024-03-20,1,Seed,15000000,EUR,16406335,Seed,15000000,EUR,16406335,15000000,EUR,16406335,Seed,15000000,EUR,16406335,"Sofinnova Partners, Xavier Niel, Hitachi Ventures, Olivier Pomel, Life Extension Ventures",5,"Biotechnology, Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.cure51.com,https://www.linkedin.com/company/cure51,,11-50
Deblock,https://www.crunchbase.com/organization/deblock,,,Deblock offers banking services to cryptocurrency users.It assists people to cash out their cryptocurrency investments.,,"Banking, Cryptocurrency, FinTech","London, England, United Kingdom",Deblock offers banking services to cryptocurrency users.,"2,509",2022-01-01,year,,"Aaron Beck, Adriana Restrepo, Jean Meyer, Mario Eguiluz Alebicto",Private,"2,590",,2024-11-21,2,Seed,13300000,GBP,16833227,Seed,28597299,USD,28597299,13300000,GBP,16833227,Seed,28597299,USD,28597299,"Kima Ventures, Headline, Edward Lando, Chalfen Ventures, The Twenty Minute VC",8,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",,"Europe, Middle East, and Africa (EMEA)",https://deblock.com,https://www.linkedin.com/company/stealth-fintech-crypto,,11-50
Eden AI,https://www.crunchbase.com/organization/eden-ai,Growing,,"Eden AI simplifies the use and integration of AI technologies by providing a unique API connected to the best AI engines and combined with a powerful management platform. It combines : - A unique AI API to easily switch between AI engines from different providers - Friendly user interface to discover various AI engines and directly test them with your own data - Innovative management platform to monitor costs, manage access and secure governance of your data The platform covers a wide range of AI technologies: - Vision: Custom vision, object detection, video analysis, face recognition, explicit content detection, etc. - Text & NLP: Custom text classification, keyword extraction, sentiment anaysis, language detection, syntax analysis, etc. - Speech & Audio: Speech-to-text, speech recognition, language detection, speech diarization, text-to-speech, etc. - Optical Character Recognition (OCR): Standard OCR, invoice OCR, ID card OCR, tables OCR, receipt OCR, etc. - Machine Translation: Standard machine translation, custom machine translation. - Prediction: Regression, classification, clustering, time series, deep learning.",,"Artificial Intelligence (AI), Computer Vision, Developer APIs, Facial Recognition, Machine Learning, Software, Speech Recognition, Text Analytics, Translation Service","Lyon, Rhone-Alpes, France",A unique API connected to the best AI engines and combined with a powerful management platform,"2,681",2020-01-01,day,,"Samy Melaine, Taha Zemmouri",Private,"2,770",,2024-11-21,2,Seed,3000000,EUR,3165499,Seed,4500000,EUR,4748664,3000000,EUR,3165499,Seed,4500000,EUR,4748664,"Bpifrance, Societe Generale, Wendel, BNP Paribas, 50 Partners",15,"Artificial Intelligence (AI), Data and Analytics, Hardware, Professional Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.edenai.co,https://www.linkedin.com/showcase/edenai/,contact@edenai.co,1-10
